program_name,domain,preferred_stream,key_subjects,interests,strengths_required,long_term_goals,competitive_exam,description,required_skills
B.Tech Robotics,tech,Science (Mathematics),"mathematics,computer science,physics","Learning, General Knowledge","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Tech Cybersecurity,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
B.Tech Cybersecurity,tech,Science (Mathematics),"mathematics,computer science,physics","Web Development, Programming, Technology","logical thinking,analytical","high paying career,technology","jee,bitsat,cuet","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
MBBS,medical,Science (Biology),"biology,chemistry,physics","Healthcare, Biology, Science","helping others,analytical","healthcare,high paying career","neet,cuet","Prepares students for healthcare, medical science, and biological research.","Biology, Research, Lab Skills, Patient Care"
MBBS,medical,Science (Biology),"biology,chemistry,physics","Healthcare, Biology, Science","helping others,analytical","healthcare,high paying career","neet,cuet","Prepares students for healthcare, medical science, and biological research.","Biology, Research, Lab Skills, Patient Care"
BDS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BDS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BAMS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BAMS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BHMS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BHMS,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BPT,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BPT,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Nursing,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Nursing,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Pharm,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Pharm,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Biotechnology,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Biotechnology,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Microbiology,medical,Science (Biology),"biology,chemistry,physics","Healthcare, Biology, Science","helping others,analytical","healthcare,high paying career","neet,cuet","Prepares students for healthcare, medical science, and biological research.","Biology, Research, Lab Skills, Patient Care"
B.Sc Microbiology,medical,Science (Biology),"biology,chemistry,physics","Healthcare, Biology, Science","helping others,analytical","healthcare,high paying career","neet,cuet","Prepares students for healthcare, medical science, and biological research.","Biology, Research, Lab Skills, Patient Care"
B.Sc Genetics,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Sc Genetics,medical,Science (Biology),"biology,chemistry,physics","Learning, General Knowledge","helping others,analytical","healthcare,high paying career","neet,cuet",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Com,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Com,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BBA,commerce,Commerce,"accountancy,economics,business","Business, Entrepreneurship, Management","analytical,leadership","business,high paying career","cuet,ca foundation","Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
BBA,commerce,Commerce,"accountancy,economics,business","Business, Entrepreneurship, Management","analytical,leadership","business,high paying career","cuet,ca foundation","Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
BMS,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BMS,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BBM,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BBM,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BAF,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BAF,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BBI,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BBI,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BFM,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BFM,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CA,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CA,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CS,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CS,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CMA,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
CMA,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Com + LLB,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Com + LLB,commerce,Commerce,"accountancy,economics,business","Learning, General Knowledge","analytical,leadership","business,high paying career","cuet,ca foundation",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA Psychology,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA Psychology,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA English,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA English,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA Political Science,arts,Arts / Humanities,"history,political science,psychology","Web Development, Programming, Technology","communication,analytical","government job,creative career","cuet,clat","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
BA Political Science,arts,Arts / Humanities,"history,political science,psychology","Web Development, Programming, Technology","communication,analytical","government job,creative career","cuet,clat","Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
BA History,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA History,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA Sociology,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BA Sociology,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BJMC,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BJMC,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BFA,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BFA,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BSW,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
BSW,arts,Arts / Humanities,"history,political science,psychology","Learning, General Knowledge","communication,analytical","government job,creative career","cuet,clat",Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Des,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
B.Des,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
Animation & Multimedia,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
Animation & Multimedia,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
Graphic Designing,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
Graphic Designing,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
UI/UX Design,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
UI/UX Design,open,All Streams,general,"Design, Creativity, Art","creative,communication","creative career,freelancing",cuet,"Emphasizes creativity, visual design, and user experience development.","Figma, Design Thinking, Creativity, UI/UX"
Digital Marketing,open,All Streams,general,"Web Development, Programming, Technology","creative,communication","creative career,freelancing",cuet,"Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
Digital Marketing,open,All Streams,general,"Web Development, Programming, Technology","creative,communication","creative career,freelancing",cuet,"Covers software development, web technologies, and application building.","HTML, CSS, JavaScript, Programming, Databases"
Hotel Management,open,All Streams,general,"Business, Entrepreneurship, Management","creative,communication","creative career,freelancing",cuet,"Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
Hotel Management,open,All Streams,general,"Business, Entrepreneurship, Management","creative,communication","creative career,freelancing",cuet,"Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
Travel & Tourism,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
Travel & Tourism,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
Event Management,open,All Streams,general,"Business, Entrepreneurship, Management","creative,communication","creative career,freelancing",cuet,"Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
Event Management,open,All Streams,general,"Business, Entrepreneurship, Management","creative,communication","creative career,freelancing",cuet,"Focuses on business operations, management, and entrepreneurship skills.","Communication, Management, Leadership, Marketing"
Content Creation,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
Content Creation,open,All Streams,general,"Learning, General Knowledge","creative,communication","creative career,freelancing",cuet,Provides general academic knowledge and career flexibility.,"Communication, Problem Solving, Critical Thinking"
